,abundance,Alphacarmotetravirus,Alphachrysovirus,Alphaendornavirus,Alphanodavirus,Alphapartitivirus,Alphavirus,Ampivirus,Anulavirus,Aparavirus,Arenavirus,Avastrovirus,Bacillarnavirus,Benyvirus,Betapartitivirus,Capillovirus,Cardiovirus,Carlavirus,Chrysovirus,Closterovirus,Coguvirus,Cripavirus,Culicidavirus,Deltaflexivirus,Deltahypovirus,Duamitovirus,Fabavirus,Gammacoronavirus,Gammapartitivirus,Giardiavirus,Gruhelivirus,Hepatovirus,Hypovirus,Iflavirus,Kobuvirus,Kusarnavirus,Labyrnavirus,Ledantevirus,Lentinuvirus,Locarnavirus,Luteovirus,Macanavirus,Maculavirus,Magoulivirus,Marafivirus,Marnavirus,Metaavulavirus,Mitovirus,Mosavirus,Nacovirus,Narnavirus,Ollusvirus,Orthodiscovirus,Orthopicobirnavirus,Orthorubulavirus,Ourmiavirus,Phlebovirus,Picobirnavirus,Potexvirus,Potyvirus,Rotavirus,Salisharnavirus,Sapelovirus,Sclerotimonavirus,Sicinivirus,Sigmavirus,Sobemovirus,Sogarnavirus,Sopolycivirus,Tobamovirus,Tombusvirus,Torchivirus,Totivirus,Tremovirus,Tropivirus,Tupavirus,Tymovirus,Vesiculovirus,Yingvirus,Yuyuevirus
HYY3,12.1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8501559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8758654,0,0,0,0,0,0,0,0,0,4.082092,0,0,0,0,1.320562,0,0,0,0
LRDYA,77.12388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRDYYA,80.87051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6232596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.003564,0,0,0,0,0,0,0,0,0,0,2.8122447,0,0,0,3.2878868,0,0,0,0,2.0929311,0,0,0,0,0,0,0,0,0,0
LRHYA,78.70514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4023130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRHYYA,96.9525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5113606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3360593,0,0,0,2.7421908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRLSA,99.9441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8519551,0,0,0,0,0,0,0
LRLSYA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.293365,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2013971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRQHWA,99.88438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7287757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3123889,0,0,0,2.1852588,0,0,0,0,0,0,0,1.3087778,0,0,0,0,0,0,0
LRQHYWA,97.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6568741,0,0,0,0,0,2.881402,0,0,0,2.7779268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6919651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2415465,1.1231981,0,0,0,0,0,0
LSDG1,21.12607,0,2.964919,0,2.803723,0,0,0,0.7315888,0,0,0,0,0,2.004536,1.893928,0,0,1.3769418,0,0,3.0199508,2.330495,0,0,1.368845,0,0,0,0,0,0,0,2.264629,0,0,0,0,0,0,0,0,0,0,3.429442,0,0,0.7839036,0,0,1.4194601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392169,0,0,2.4682291,0,0,4.2076691,0,0,0,0,0,0,0
