,Sample,bacterium,Relative_abundance,Sort3
43,1452809393A,Saccharomyces_cerevisiae,0,Black-headed gull
44,1452809393A,Clostridium_perfringens,0,Black-headed gull
45,1452809393A,Escherichia_coli,0,Black-headed gull
46,1452809400A,Escherichia_coli,0,Black-headed gull
47,1452809400A,Exiguobacterium_undae,0,Black-headed gull
48,1452809400A,Catellicoccus_marimammalium,99.48642,Black-headed gull
49,1452809400A,Bradyrhizobium_viridifuturi,0,Black-headed gull
50,1452809400A,Microcystis_aeruginosa,0,Black-headed gull
51,1452809400A,Unclassified,0,Black-headed gull
52,1452809400A,Clostridium_perfringens,0,Black-headed gull
53,1452809400A,Others,0.0404100000000085,Black-headed gull
54,1452809400A,Saccharomyces_cerevisiae,0.47317,Black-headed gull
55,1452809477A,Escherichia_coli,0,Black-headed gull
56,1452809477A,Unclassified,0,Black-headed gull
57,1452809477A,Catellicoccus_marimammalium,1.23985,Black-headed gull
58,1452809477A,Bradyrhizobium_viridifuturi,98.76015,Black-headed gull
59,1452809477A,Exiguobacterium_undae,0,Black-headed gull
60,1452809477A,Microcystis_aeruginosa,0,Black-headed gull
61,1452809477A,Clostridium_perfringens,0,Black-headed gull
62,1452809477A,Saccharomyces_cerevisiae,0,Black-headed gull
63,1452809477A,Others,0,Black-headed gull
64,1452809507A,Clostridium_perfringens,0,Other birds
65,1452809507A,Microcystis_aeruginosa,0,Other birds
66,1452809507A,Others,0,Other birds
67,1452809507A,Unclassified,0,Other birds
68,1452809507A,Saccharomyces_cerevisiae,0,Other birds
69,1452809507A,Bradyrhizobium_viridifuturi,7.94064,Other birds
70,1452809507A,Catellicoccus_marimammalium,92.05936,Other birds
71,1452809507A,Escherichia_coli,0,Other birds
72,1452809507A,Exiguobacterium_undae,0,Other birds
73,1452809529A,Microcystis_aeruginosa,0,Other birds
74,1452809529A,Catellicoccus_marimammalium,0.43904,Other birds
75,1452809529A,Bradyrhizobium_viridifuturi,0,Other birds
76,1452809529A,Escherichia_coli,0,Other birds
77,1452809529A,Others,99.56096,Other birds
78,1452809529A,Unclassified,0,Other birds
79,1452809529A,Clostridium_perfringens,0,Other birds
80,1452809529A,Saccharomyces_cerevisiae,0,Other birds
81,1452809529A,Exiguobacterium_undae,0,Other birds
82,1452809544A,Clostridium_perfringens,0,Environment control
83,1452809544A,Exiguobacterium_undae,62.53748,Environment control
84,1452809544A,Bradyrhizobium_viridifuturi,0,Environment control
85,1452809544A,Unclassified,0,Environment control
86,1452809544A,Saccharomyces_cerevisiae,0,Environment control
87,1452809544A,Escherichia_coli,0,Environment control
88,1452809544A,Others,37.26363,Environment control
89,1452809544A,Catellicoccus_marimammalium,0.19889,Environment control
90,1452809544A,Microcystis_aeruginosa,0,Environment control
91,1452809651A,Catellicoccus_marimammalium,100,Other birds
92,1452809651A,Clostridium_perfringens,0,Other birds
93,1452809651A,Others,0,Other birds
94,1452809651A,Exiguobacterium_undae,0,Other birds
95,1452809651A,Saccharomyces_cerevisiae,0,Other birds
96,1452809651A,Bradyrhizobium_viridifuturi,0,Other birds
97,1452809651A,Escherichia_coli,0,Other birds
98,1452809651A,Unclassified,0,Other birds
99,1452809651A,Microcystis_aeruginosa,0,Other birds
100,1452809675B,Bradyrhizobium_viridifuturi,0,Black-headed gull
101,1452809675B,Escherichia_coli,0,Black-headed gull
102,1452809675B,Saccharomyces_cerevisiae,33.45076,Black-headed gull
103,1452809675B,Catellicoccus_marimammalium,54.12006,Black-headed gull
104,1452809675B,Clostridium_perfringens,0,Black-headed gull
105,1452809675B,Exiguobacterium_undae,0,Black-headed gull
106,1452809675B,Unclassified,0,Black-headed gull
107,1452809675B,Others,12.42918,Black-headed gull
108,1452809675B,Microcystis_aeruginosa,0,Black-headed gull
109,1452809706B,Saccharomyces_cerevisiae,3.98261,Black-headed gull
110,1452809706B,Microcystis_aeruginosa,0,Black-headed gull
111,1452809706B,Catellicoccus_marimammalium,95.91308,Black-headed gull
112,1452809706B,Exiguobacterium_undae,0,Black-headed gull
113,1452809706B,Escherichia_coli,0,Black-headed gull
114,1452809706B,Bradyrhizobium_viridifuturi,0,Black-headed gull
115,1452809706B,Unclassified,0,Black-headed gull
116,1452809706B,Clostridium_perfringens,0,Black-headed gull
117,1452809706B,Others,0.104310000000012,Black-headed gull
118,1452809712A,Others,54.65667,Black-headed gull
119,1452809712A,Unclassified,0,Black-headed gull
120,1452809712A,Clostridium_perfringens,0,Black-headed gull
121,1452809712A,Microcystis_aeruginosa,0,Black-headed gull
122,1452809712A,Bradyrhizobium_viridifuturi,0,Black-headed gull
123,1452809712A,Exiguobacterium_undae,0,Black-headed gull
124,1452809712A,Escherichia_coli,0,Black-headed gull
125,1452809712A,Saccharomyces_cerevisiae,10.63432,Black-headed gull
126,1452809712A,Catellicoccus_marimammalium,34.70901,Black-headed gull
127,1452809718A,Saccharomyces_cerevisiae,0.35817,Black-headed gull
128,1452809718A,Exiguobacterium_undae,0,Black-headed gull
129,1452809718A,Others,0.363930000000011,Black-headed gull
130,1452809718A,Catellicoccus_marimammalium,99.1753,Black-headed gull
131,1452809718A,Clostridium_perfringens,0,Black-headed gull
132,1452809718A,Bradyrhizobium_viridifuturi,0,Black-headed gull
133,1452809718A,Escherichia_coli,0.1026,Black-headed gull
134,1452809718A,Microcystis_aeruginosa,0,Black-headed gull
135,1452809718A,Unclassified,0,Black-headed gull
136,1452809728A,Saccharomyces_cerevisiae,0.001,Black-headed gull
137,1452809728A,Others,0.00659000000000276,Black-headed gull
138,1452809728A,Unclassified,0,Black-headed gull
139,1452809728A,Microcystis_aeruginosa,0,Black-headed gull
140,1452809728A,Escherichia_coli,0,Black-headed gull
141,1452809728A,Exiguobacterium_undae,0,Black-headed gull
142,1452809728A,Catellicoccus_marimammalium,99.96427,Black-headed gull
143,1452809728A,Bradyrhizobium_viridifuturi,0,Black-headed gull
144,1452809728A,Clostridium_perfringens,0.02814,Black-headed gull
145,1452809734A,Others,46.41197,Environment control
146,1452809734A,Unclassified,0,Environment control
147,1452809734A,Catellicoccus_marimammalium,0.28428,Environment control
148,1452809734A,Microcystis_aeruginosa,0,Environment control
149,1452809734A,Bradyrhizobium_viridifuturi,0,Environment control
150,1452809734A,Clostridium_perfringens,0,Environment control
151,1452809734A,Escherichia_coli,0,Environment control
152,1452809734A,Saccharomyces_cerevisiae,0,Environment control
153,1452809734A,Exiguobacterium_undae,53.30375,Environment control
154,1452809772A,Saccharomyces_cerevisiae,0,Other birds
155,1452809772A,Exiguobacterium_undae,0,Other birds
156,1452809772A,Catellicoccus_marimammalium,86.29968,Other birds
157,1452809772A,Escherichia_coli,0,Other birds
158,1452809772A,Others,0,Other birds
159,1452809772A,Bradyrhizobium_viridifuturi,13.70032,Other birds
160,1452809772A,Microcystis_aeruginosa,0,Other birds
161,1452809772A,Unclassified,0,Other birds
162,1452809772A,Clostridium_perfringens,0,Other birds
163,1452809776A,Clostridium_perfringens,0,Black-headed gull
164,1452809776A,Exiguobacterium_undae,0,Black-headed gull
165,1452809776A,Catellicoccus_marimammalium,97.70883,Black-headed gull
166,1452809776A,Others,0.023619999999994,Black-headed gull
167,1452809776A,Escherichia_coli,0,Black-headed gull
168,1452809776A,Bradyrhizobium_viridifuturi,0,Black-headed gull
169,1452809776A,Saccharomyces_cerevisiae,2.26755,Black-headed gull
170,1452809776A,Microcystis_aeruginosa,0,Black-headed gull
171,1452809776A,Unclassified,0,Black-headed gull
172,1452809784A,Catellicoccus_marimammalium,0.22592,Environment control
173,1452809784A,Clostridium_perfringens,0,Environment control
174,1452809784A,Exiguobacterium_undae,57.07397,Environment control
175,1452809784A,Bradyrhizobium_viridifuturi,0.14723,Environment control
176,1452809784A,Others,42.55288,Environment control
177,1452809784A,Escherichia_coli,0,Environment control
178,1452809784A,Microcystis_aeruginosa,0,Environment control
179,1452809784A,Saccharomyces_cerevisiae,0,Environment control
180,1452809784A,Unclassified,0,Environment control
181,1452809854A,Saccharomyces_cerevisiae,0,Other birds
182,1452809854A,Escherichia_coli,0,Other birds
183,1452809854A,Clostridium_perfringens,0,Other birds
184,1452809854A,Bradyrhizobium_viridifuturi,0,Other birds
185,1452809854A,Catellicoccus_marimammalium,9.02539,Other birds
186,1452809854A,Microcystis_aeruginosa,0,Other birds
187,1452809854A,Exiguobacterium_undae,0,Other birds
188,1452809854A,Others,90.97461,Other birds
189,1452809854A,Unclassified,0,Other birds
190,1452809907A,Bradyrhizobium_viridifuturi,98.1628,Black-headed gull
191,1452809907A,Others,0,Black-headed gull
192,1452809907A,Saccharomyces_cerevisiae,0,Black-headed gull
193,1452809907A,Escherichia_coli,0,Black-headed gull
194,1452809907A,Clostridium_perfringens,0,Black-headed gull
195,1452809907A,Unclassified,0,Black-headed gull
196,1452809907A,Exiguobacterium_undae,0,Black-headed gull
197,1452809907A,Catellicoccus_marimammalium,1.8372,Black-headed gull
198,1452809907A,Microcystis_aeruginosa,0,Black-headed gull
199,1452809911A,Microcystis_aeruginosa,0,Black-headed gull
200,1452809911A,Unclassified,0,Black-headed gull
201,1452809911A,Others,0,Black-headed gull
202,1452809911A,Clostridium_perfringens,0,Black-headed gull
203,1452809911A,Catellicoccus_marimammalium,99.99802,Black-headed gull
204,1452809911A,Bradyrhizobium_viridifuturi,0,Black-headed gull
205,1452809911A,Exiguobacterium_undae,0,Black-headed gull
206,1452809911A,Saccharomyces_cerevisiae,0.00198,Black-headed gull
207,1452809911A,Escherichia_coli,0,Black-headed gull
208,1452809920A,Escherichia_coli,0,Black-headed gull
209,1452809920A,Catellicoccus_marimammalium,99.96202,Black-headed gull
210,1452809920A,Exiguobacterium_undae,0,Black-headed gull
211,1452809920A,Bradyrhizobium_viridifuturi,0,Black-headed gull
212,1452809920A,Microcystis_aeruginosa,0,Black-headed gull
213,1452809920A,Saccharomyces_cerevisiae,0.03798,Black-headed gull
214,1452809920A,Others,0,Black-headed gull
215,1452809920A,Unclassified,0,Black-headed gull
216,1452809920A,Clostridium_perfringens,0,Black-headed gull
217,1452809934A,Escherichia_coli,0,Black-headed gull
218,1452809934A,Exiguobacterium_undae,0,Black-headed gull
219,1452809934A,Microcystis_aeruginosa,0,Black-headed gull
220,1452809934A,Clostridium_perfringens,0,Black-headed gull
221,1452809934A,Saccharomyces_cerevisiae,0,Black-headed gull
222,1452809934A,Bradyrhizobium_viridifuturi,0,Black-headed gull
223,1452809934A,Others,0.0063300000000055,Black-headed gull
224,1452809934A,Catellicoccus_marimammalium,99.99367,Black-headed gull
225,1452809934A,Unclassified,0,Black-headed gull
226,1452809985A,Unclassified,0,Black-headed gull
227,1452809985A,Microcystis_aeruginosa,0,Black-headed gull
228,1452809985A,Catellicoccus_marimammalium,0.24938,Black-headed gull
229,1452809985A,Others,99.45919,Black-headed gull
230,1452809985A,Bradyrhizobium_viridifuturi,0,Black-headed gull
231,1452809985A,Clostridium_perfringens,0.29143,Black-headed gull
232,1452809985A,Exiguobacterium_undae,0,Black-headed gull
233,1452809985A,Escherichia_coli,0,Black-headed gull
234,1452809985A,Saccharomyces_cerevisiae,0,Black-headed gull
235,1452810026A,Catellicoccus_marimammalium,99.47174,Black-headed gull
236,1452810026A,Unclassified,0,Black-headed gull
237,1452810026A,Bradyrhizobium_viridifuturi,0,Black-headed gull
238,1452810026A,Escherichia_coli,0,Black-headed gull
239,1452810026A,Others,0.0145200000000045,Black-headed gull
240,1452810026A,Microcystis_aeruginosa,0,Black-headed gull
241,1452810026A,Clostridium_perfringens,0.00762,Black-headed gull
242,1452810026A,Saccharomyces_cerevisiae,0.50612,Black-headed gull
243,1452810026A,Exiguobacterium_undae,0,Black-headed gull
244,1452810096A,Saccharomyces_cerevisiae,0.02067,Black-headed gull
245,1452810096A,Escherichia_coli,0,Black-headed gull
246,1452810096A,Others,0.182400000000001,Black-headed gull
247,1452810096A,Microcystis_aeruginosa,0,Black-headed gull
248,1452810096A,Exiguobacterium_undae,0,Black-headed gull
249,1452810096A,Unclassified,0,Black-headed gull
250,1452810096A,Clostridium_perfringens,0,Black-headed gull
251,1452810096A,Bradyrhizobium_viridifuturi,0,Black-headed gull
252,1452810096A,Catellicoccus_marimammalium,99.79693,Black-headed gull
253,1452810107B,Bradyrhizobium_viridifuturi,0,Black-headed gull
254,1452810107B,Others,30.58556,Black-headed gull
255,1452810107B,Microcystis_aeruginosa,0,Black-headed gull
256,1452810107B,Unclassified,0,Black-headed gull
257,1452810107B,Saccharomyces_cerevisiae,0,Black-headed gull
258,1452810107B,Catellicoccus_marimammalium,0.47871,Black-headed gull
259,1452810107B,Exiguobacterium_undae,0,Black-headed gull
260,1452810107B,Clostridium_perfringens,68.93573,Black-headed gull
261,1452810107B,Escherichia_coli,0,Black-headed gull
262,1452810910A,Saccharomyces_cerevisiae,0,Black-headed gull
263,1452810910A,Bradyrhizobium_viridifuturi,93.97443,Black-headed gull
264,1452810910A,Catellicoccus_marimammalium,6.02557,Black-headed gull
265,1452810910A,Others,0,Black-headed gull
266,1452810910A,Escherichia_coli,0,Black-headed gull
267,1452810910A,Clostridium_perfringens,0,Black-headed gull
268,1452810910A,Microcystis_aeruginosa,0,Black-headed gull
269,1452810910A,Exiguobacterium_undae,0,Black-headed gull
270,1452810910A,Unclassified,0,Black-headed gull
271,1452810944A,Clostridium_perfringens,0,Black-headed gull
272,1452810944A,Others,0,Black-headed gull
273,1452810944A,Catellicoccus_marimammalium,100,Black-headed gull
274,1452810944A,Exiguobacterium_undae,0,Black-headed gull
275,1452810944A,Microcystis_aeruginosa,0,Black-headed gull
276,1452810944A,Saccharomyces_cerevisiae,0,Black-headed gull
277,1452810944A,Unclassified,0,Black-headed gull
278,1452810944A,Escherichia_coli,0,Black-headed gull
279,1452810944A,Bradyrhizobium_viridifuturi,0,Black-headed gull
280,14528137818A,Others,0.323480000000004,Black-headed gull
281,14528137818A,Unclassified,0,Black-headed gull
282,14528137818A,Saccharomyces_cerevisiae,0,Black-headed gull
283,14528137818A,Catellicoccus_marimammalium,99.09514,Black-headed gull
284,14528137818A,Clostridium_perfringens,0.53549,Black-headed gull
285,14528137818A,Bradyrhizobium_viridifuturi,0.00259,Black-headed gull
286,14528137818A,Microcystis_aeruginosa,0,Black-headed gull
287,14528137818A,Exiguobacterium_undae,0.00797,Black-headed gull
288,14528137818A,Escherichia_coli,0.03533,Black-headed gull
289,14528137844A,Saccharomyces_cerevisiae,0,Black-headed gull
290,14528137844A,Escherichia_coli,0,Black-headed gull
291,14528137844A,Exiguobacterium_undae,0,Black-headed gull
292,14528137844A,Microcystis_aeruginosa,0,Black-headed gull
293,14528137844A,Catellicoccus_marimammalium,0.66418,Black-headed gull
294,14528137844A,Clostridium_perfringens,1.28681,Black-headed gull
295,14528137844A,Bradyrhizobium_viridifuturi,0,Black-headed gull
296,14528137844A,Others,98.04901,Black-headed gull
297,14528137844A,Unclassified,0,Black-headed gull
298,14528138110B,Saccharomyces_cerevisiae,0,Black-headed gull
299,14528138110B,Others,99.62948,Black-headed gull
300,14528138110B,Unclassified,0,Black-headed gull
301,14528138110B,Escherichia_coli,0,Black-headed gull
302,14528138110B,Exiguobacterium_undae,0,Black-headed gull
303,14528138110B,Bradyrhizobium_viridifuturi,0,Black-headed gull
304,14528138110B,Clostridium_perfringens,0.36612,Black-headed gull
305,14528138110B,Microcystis_aeruginosa,0,Black-headed gull
306,14528138110B,Catellicoccus_marimammalium,0.0044,Black-headed gull
307,ASQHA,Bradyrhizobium_viridifuturi,0,Other birds
308,ASQHA,Exiguobacterium_undae,100,Other birds
309,ASQHA,Microcystis_aeruginosa,0,Other birds
310,ASQHA,Others,0,Other birds
311,ASQHA,Saccharomyces_cerevisiae,0,Other birds
312,ASQHA,Catellicoccus_marimammalium,0,Other birds
313,ASQHA,Unclassified,0,Other birds
314,ASQHA,Escherichia_coli,0,Other birds
315,ASQHA,Clostridium_perfringens,0,Other birds
316,DYB10RA,Catellicoccus_marimammalium,5.55653,Black-headed gull
317,DYB10RA,Clostridium_perfringens,0,Black-headed gull
318,DYB10RA,Exiguobacterium_undae,0,Black-headed gull
319,DYB10RA,Others,94.0221,Black-headed gull
320,DYB10RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
321,DYB10RA,Saccharomyces_cerevisiae,0.42137,Black-headed gull
322,DYB10RA,Escherichia_coli,0,Black-headed gull
323,DYB10RA,Unclassified,0,Black-headed gull
324,DYB10RA,Microcystis_aeruginosa,0,Black-headed gull
325,DYB1RA,Unclassified,0,Black-headed gull
326,DYB1RA,Clostridium_perfringens,0,Black-headed gull
327,DYB1RA,Microcystis_aeruginosa,0,Black-headed gull
328,DYB1RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
329,DYB1RA,Exiguobacterium_undae,0,Black-headed gull
330,DYB1RA,Saccharomyces_cerevisiae,0.54892,Black-headed gull
331,DYB1RA,Escherichia_coli,0,Black-headed gull
332,DYB1RA,Others,99.4108,Black-headed gull
333,DYB1RA,Catellicoccus_marimammalium,0.04028,Black-headed gull
334,DYB4RA,Clostridium_perfringens,0,Black-headed gull
335,DYB4RA,Catellicoccus_marimammalium,0.72805,Black-headed gull
336,DYB4RA,Exiguobacterium_undae,0,Black-headed gull
337,DYB4RA,Others,99.26493,Black-headed gull
338,DYB4RA,Saccharomyces_cerevisiae,0.00702,Black-headed gull
339,DYB4RA,Escherichia_coli,0,Black-headed gull
340,DYB4RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
341,DYB4RA,Unclassified,0,Black-headed gull
342,DYB4RA,Microcystis_aeruginosa,0,Black-headed gull
343,DYBA,Catellicoccus_marimammalium,0,Environment control
344,DYBA,Others,100,Environment control
345,DYBA,Bradyrhizobium_viridifuturi,0,Environment control
346,DYBA,Unclassified,0,Environment control
347,DYBA,Saccharomyces_cerevisiae,0,Environment control
348,DYBA,Escherichia_coli,0,Environment control
349,DYBA,Clostridium_perfringens,0,Environment control
350,DYBA,Microcystis_aeruginosa,0,Environment control
351,DYBA,Exiguobacterium_undae,0,Environment control
352,DYBR101A,Saccharomyces_cerevisiae,0.0021,Black-headed gull
353,DYBR101A,Escherichia_coli,0.00193,Black-headed gull
354,DYBR101A,Others,0.0156999999999954,Black-headed gull
355,DYBR101A,Microcystis_aeruginosa,0,Black-headed gull
356,DYBR101A,Catellicoccus_marimammalium,99.98027,Black-headed gull
357,DYBR101A,Clostridium_perfringens,0,Black-headed gull
358,DYBR101A,Exiguobacterium_undae,0,Black-headed gull
359,DYBR101A,Bradyrhizobium_viridifuturi,0,Black-headed gull
360,DYBR101A,Unclassified,0,Black-headed gull
361,DYBR64A,Others,0.503270000000001,Black-headed gull
362,DYBR64A,Clostridium_perfringens,0.0208,Black-headed gull
363,DYBR64A,Unclassified,0,Black-headed gull
364,DYBR64A,Catellicoccus_marimammalium,99.2819,Black-headed gull
365,DYBR64A,Microcystis_aeruginosa,0,Black-headed gull
366,DYBR64A,Exiguobacterium_undae,0,Black-headed gull
367,DYBR64A,Bradyrhizobium_viridifuturi,0,Black-headed gull
368,DYBR64A,Saccharomyces_cerevisiae,0.19403,Black-headed gull
369,DYBR64A,Escherichia_coli,0,Black-headed gull
370,DYBR68A,Bradyrhizobium_viridifuturi,0,Black-headed gull
371,DYBR68A,Exiguobacterium_undae,0,Black-headed gull
372,DYBR68A,Saccharomyces_cerevisiae,0.00397,Black-headed gull
373,DYBR68A,Others,0.00221000000000515,Black-headed gull
374,DYBR68A,Escherichia_coli,0,Black-headed gull
375,DYBR68A,Unclassified,0,Black-headed gull
376,DYBR68A,Clostridium_perfringens,0,Black-headed gull
377,DYBR68A,Microcystis_aeruginosa,0,Black-headed gull
378,DYBR68A,Catellicoccus_marimammalium,99.99382,Black-headed gull
379,DYCR75A,Exiguobacterium_undae,0,Black-headed gull
380,DYCR75A,Others,0.745199999999997,Black-headed gull
381,DYCR75A,Saccharomyces_cerevisiae,0.19991,Black-headed gull
382,DYCR75A,Microcystis_aeruginosa,0,Black-headed gull
383,DYCR75A,Unclassified,0,Black-headed gull
384,DYCR75A,Catellicoccus_marimammalium,99.05489,Black-headed gull
385,DYCR75A,Escherichia_coli,0,Black-headed gull
386,DYCR75A,Clostridium_perfringens,0,Black-headed gull
387,DYCR75A,Bradyrhizobium_viridifuturi,0,Black-headed gull
388,DYCR77A,Others,0.656049999999993,Black-headed gull
389,DYCR77A,Unclassified,0,Black-headed gull
390,DYCR77A,Microcystis_aeruginosa,0,Black-headed gull
391,DYCR77A,Catellicoccus_marimammalium,99.24805,Black-headed gull
392,DYCR77A,Clostridium_perfringens,0,Black-headed gull
393,DYCR77A,Escherichia_coli,0,Black-headed gull
394,DYCR77A,Bradyrhizobium_viridifuturi,0,Black-headed gull
395,DYCR77A,Exiguobacterium_undae,0,Black-headed gull
396,DYCR77A,Saccharomyces_cerevisiae,0.0959,Black-headed gull
397,DYCR80B,Bradyrhizobium_viridifuturi,0,Black-headed gull
398,DYCR80B,Saccharomyces_cerevisiae,0.10571,Black-headed gull
399,DYCR80B,Exiguobacterium_undae,0,Black-headed gull
400,DYCR80B,Catellicoccus_marimammalium,98.73959,Black-headed gull
401,DYCR80B,Others,1.02202,Black-headed gull
402,DYCR80B,Clostridium_perfringens,0,Black-headed gull
403,DYCR80B,Escherichia_coli,0.13268,Black-headed gull
404,DYCR80B,Unclassified,0,Black-headed gull
405,DYCR80B,Microcystis_aeruginosa,0,Black-headed gull
406,DYG1,Microcystis_aeruginosa,0,Black-headed gull
407,DYG1,Catellicoccus_marimammalium,99.96016,Black-headed gull
408,DYG1,Clostridium_perfringens,0,Black-headed gull
409,DYG1,Exiguobacterium_undae,0,Black-headed gull
410,DYG1,Others,0.0360699999999952,Black-headed gull
411,DYG1,Escherichia_coli,0,Black-headed gull
412,DYG1,Bradyrhizobium_viridifuturi,0,Black-headed gull
413,DYG1,Saccharomyces_cerevisiae,0.00377,Black-headed gull
414,DYG1,Unclassified,0,Black-headed gull
415,DYG1_1452809919A,Clostridium_perfringens,0,Black-headed gull
416,DYG1_1452809919A,Exiguobacterium_undae,0,Black-headed gull
417,DYG1_1452809919A,Catellicoccus_marimammalium,99.93124,Black-headed gull
418,DYG1_1452809919A,Microcystis_aeruginosa,0,Black-headed gull
419,DYG1_1452809919A,Others,0.00132999999999583,Black-headed gull
420,DYG1_1452809919A,Bradyrhizobium_viridifuturi,0,Black-headed gull
421,DYG1_1452809919A,Saccharomyces_cerevisiae,0.06743,Black-headed gull
422,DYG1_1452809919A,Escherichia_coli,0,Black-headed gull
423,DYG1_1452809919A,Unclassified,0,Black-headed gull
424,DYG1RA,Escherichia_coli,0,Black-headed gull
425,DYG1RA,Catellicoccus_marimammalium,1.84401,Black-headed gull
426,DYG1RA,Exiguobacterium_undae,0,Black-headed gull
427,DYG1RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
428,DYG1RA,Unclassified,0,Black-headed gull
429,DYG1RA,Others,1.76151,Black-headed gull
430,DYG1RA,Saccharomyces_cerevisiae,96.39448,Black-headed gull
431,DYG1RA,Microcystis_aeruginosa,0,Black-headed gull
432,DYG1RA,Clostridium_perfringens,0,Black-headed gull
433,DYG2,Escherichia_coli,0,Black-headed gull
434,DYG2,Bradyrhizobium_viridifuturi,0,Black-headed gull
435,DYG2,Clostridium_perfringens,0,Black-headed gull
436,DYG2,Catellicoccus_marimammalium,99.96623,Black-headed gull
437,DYG2,Saccharomyces_cerevisiae,0.005,Black-headed gull
438,DYG2,Exiguobacterium_undae,0,Black-headed gull
439,DYG2,Microcystis_aeruginosa,0,Black-headed gull
440,DYG2,Others,0.0287700000000086,Black-headed gull
441,DYG2,Unclassified,0,Black-headed gull
442,DYG3,Bradyrhizobium_viridifuturi,0,Black-headed gull
443,DYG3,Escherichia_coli,0,Black-headed gull
444,DYG3,Clostridium_perfringens,0,Black-headed gull
445,DYG3,Saccharomyces_cerevisiae,0,Black-headed gull
446,DYG3,Exiguobacterium_undae,0,Black-headed gull
447,DYG3,Catellicoccus_marimammalium,99.70311,Black-headed gull
448,DYG3,Unclassified,0,Black-headed gull
449,DYG3,Others,0.296890000000005,Black-headed gull
450,DYG3,Microcystis_aeruginosa,0,Black-headed gull
451,DYG3_1452809913A,Unclassified,0,Black-headed gull
452,DYG3_1452809913A,Clostridium_perfringens,0.10931,Black-headed gull
453,DYG3_1452809913A,Others,0.0111999999999881,Black-headed gull
454,DYG3_1452809913A,Bradyrhizobium_viridifuturi,0,Black-headed gull
455,DYG3_1452809913A,Exiguobacterium_undae,0,Black-headed gull
456,DYG3_1452809913A,Microcystis_aeruginosa,0,Black-headed gull
457,DYG3_1452809913A,Saccharomyces_cerevisiae,0.00523,Black-headed gull
458,DYG3_1452809913A,Catellicoccus_marimammalium,99.87426,Black-headed gull
459,DYG3_1452809913A,Escherichia_coli,0,Black-headed gull
460,DYG6_1452810188A,Exiguobacterium_undae,0,Black-headed gull
461,DYG6_1452810188A,Unclassified,0,Black-headed gull
462,DYG6_1452810188A,Bradyrhizobium_viridifuturi,0,Black-headed gull
463,DYG6_1452810188A,Microcystis_aeruginosa,0,Black-headed gull
464,DYG6_1452810188A,Saccharomyces_cerevisiae,0,Black-headed gull
465,DYG6_1452810188A,Catellicoccus_marimammalium,100,Black-headed gull
466,DYG6_1452810188A,Clostridium_perfringens,0,Black-headed gull
467,DYG6_1452810188A,Escherichia_coli,0,Black-headed gull
468,DYG6_1452810188A,Others,0,Black-headed gull
469,DYGR13A,Unclassified,0,Black-headed gull
